,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,9.0,2023-04-19 10:04:41.495685,2023-04-19 10:04:55.951923,0 days 00:00:14.456238,relu,9,0.07596367487605747,0.20749523107091858,0.3780465346134648,tiny,0.9240363251239425,512,COMPLETE
1,1,9.8,2023-04-19 10:04:55.952653,2023-04-19 10:05:15.183604,0 days 00:00:19.230951,tanh,4,0.07750879100038735,0.5175941528099801,3.0770647851745645,small,0.9224912089996127,16,COMPLETE
2,2,9.2,2023-04-19 10:05:15.184326,2023-04-19 10:05:30.724237,0 days 00:00:15.539911,tanh,7,0.00020483102779548962,0.3796613412509197,0.5241536079457982,small,0.9997951689722046,128,COMPLETE
3,3,128.5,2023-04-19 10:05:30.725046,2023-04-19 10:05:46.685731,0 days 00:00:15.960685,relu,9,0.0009564412534006277,8.378407961683863e-05,1.7520564513761299,small,0.9990435587465993,512,COMPLETE
4,4,484.6,2023-04-19 10:05:46.686574,2023-04-19 10:06:03.642653,0 days 00:00:16.956079,relu,6,0.0031533912937262306,0.0011476323915598928,1.364085135625449,small,0.9968466087062737,64,COMPLETE
5,5,500.0,2023-04-19 10:06:03.643344,2023-04-19 10:06:22.116242,0 days 00:00:18.472898,relu,4,0.004502636054070095,0.0008054036740094505,1.1340373019269334,tiny,0.9954973639459299,16,COMPLETE
6,6,39.5,2023-04-19 10:06:22.116933,2023-04-19 10:06:32.644424,0 days 00:00:10.527491,relu,3,0.009119365096256908,1.275345600159608e-05,4.6292760070403025,tiny,0.9908806349037431,8,PRUNED
7,7,331.6,2023-04-19 10:06:32.645011,2023-04-19 10:06:49.278486,0 days 00:00:16.633475,relu,5,0.00010765104079880103,0.004985946095268482,0.7683739549254663,tiny,0.9998923489592012,32,COMPLETE
8,8,18.9,2023-04-19 10:06:49.279216,2023-04-19 10:06:59.991143,0 days 00:00:10.711927,tanh,3,0.01077037927270764,0.002600903790347294,1.000449788072166,tiny,0.9892296207272924,8,PRUNED
9,9,73.6,2023-04-19 10:06:59.991719,2023-04-19 10:07:07.719662,0 days 00:00:07.727943,relu,7,0.0007979742904719679,0.00030901550265063205,1.8516417450029505,tiny,0.999202025709528,128,PRUNED
10,10,500.0,2023-04-19 10:07:07.720286,2023-04-19 10:07:25.126806,0 days 00:00:17.406520,tanh,5,0.014383158626481707,0.020359975170209568,0.31898139784463664,tiny,0.9856168413735182,32,COMPLETE
11,11,294.4,2023-04-19 10:07:25.127613,2023-04-19 10:07:42.615068,0 days 00:00:17.487455,tanh,5,0.014921378809335055,0.014154676211179471,0.30963621149528703,tiny,0.9850786211906649,32,COMPLETE
12,12,9.8,2023-04-19 10:07:42.615762,2023-04-19 10:07:51.011469,0 days 00:00:08.395707,tanh,5,0.003420986126147032,0.06865447810644577,0.6260017756711596,tiny,0.996579013873853,32,PRUNED
13,13,9.1,2023-04-19 10:07:51.012298,2023-04-19 10:08:00.049254,0 days 00:00:09.036956,tanh,4,0.03416321988589782,0.02381840185161486,0.44241296514714806,tiny,0.9658367801141021,16,PRUNED
14,14,365.5,2023-04-19 10:08:00.049857,2023-04-19 10:08:16.555597,0 days 00:00:16.505740,tanh,6,0.020380902134768848,0.0011194896565433492,0.3029784589328328,tiny,0.9796190978652312,64,COMPLETE
15,15,61.1,2023-04-19 10:08:16.556345,2023-04-19 10:08:25.773044,0 days 00:00:09.216699,relu,4,0.00493215664125271,0.012463484272019232,0.7603078638082752,tiny,0.9950678433587473,16,PRUNED
16,16,9.4,2023-04-19 10:08:25.773580,2023-04-19 10:08:33.295018,0 days 00:00:07.521438,relu,8,0.030281264642014395,0.05110852379840587,0.5099914810471748,tiny,0.9697187353579856,256,PRUNED
17,17,47.9,2023-04-19 10:08:33.295903,2023-04-19 10:08:44.021038,0 days 00:00:10.725135,tanh,3,0.004931026871012606,0.0052849344817585105,1.0488591560341636,tiny,0.9950689731289873,8,PRUNED
18,18,9.7,2023-04-19 10:08:44.021610,2023-04-19 10:08:51.920808,0 days 00:00:07.899198,tanh,10,0.0018889317374324991,0.09624072807118147,0.7875690179157548,small,0.9981110682625675,1024,PRUNED
19,19,87.3,2023-04-19 10:08:51.921475,2023-04-19 10:09:00.398259,0 days 00:00:08.476784,relu,5,0.00871107108775503,0.0003923618984175496,0.414637808598912,tiny,0.991288928912245,32,PRUNED
20,20,9.6,2023-04-19 10:09:00.398861,2023-04-19 10:09:08.174481,0 days 00:00:07.775620,tanh,6,0.03726734875856153,0.7360111854044106,0.5285377001532322,tiny,0.9627326512414385,64,PRUNED
21,21,288.1,2023-04-19 10:09:08.175051,2023-04-19 10:09:17.298134,0 days 00:00:09.123083,relu,6,0.0025332849824626718,0.0014627556121885436,1.405487236286317,small,0.9974667150175374,64,PRUNED
22,22,106.3,2023-04-19 10:09:17.298701,2023-04-19 10:09:38.326443,0 days 00:00:21.027742,relu,4,0.006243843389274858,0.0006585697497372411,1.4918361785503655,small,0.9937561566107251,16,COMPLETE
23,23,499.6,2023-04-19 10:09:38.327196,2023-04-19 10:09:55.991241,0 days 00:00:17.664045,relu,7,0.013996689491563154,0.0035224410805340905,1.166224608446357,small,0.9860033105084368,128,COMPLETE
24,24,212.6,2023-04-19 10:09:55.991931,2023-04-19 10:10:04.584253,0 days 00:00:08.592322,relu,7,0.017430012961102984,0.006130559830138702,1.0427152416301484,small,0.982569987038897,128,PRUNED
25,25,500.0,2023-04-19 10:10:04.584841,2023-04-19 10:10:22.065987,0 days 00:00:17.481146,relu,8,0.01115082824289306,0.002746314157531118,2.1070241256877527,small,0.988849171757107,256,COMPLETE
26,26,9.4,2023-04-19 10:10:22.066675,2023-04-19 10:10:29.939628,0 days 00:00:07.872953,relu,8,0.006851452448733474,0.022800037152193905,2.2577658142404036,small,0.9931485475512666,256,PRUNED
27,27,500.0,2023-04-19 10:10:29.940335,2023-04-19 10:10:45.662541,0 days 00:00:15.722206,relu,8,0.010010362926816983,0.010807008030278795,2.3002243930003607,tiny,0.989989637073183,256,COMPLETE
28,28,474.3,2023-04-19 10:10:45.663390,2023-04-19 10:11:02.540083,0 days 00:00:16.876693,tanh,9,0.021184748654859784,0.002378079018686589,0.8639575535797005,small,0.9788152513451402,512,COMPLETE
29,29,48.7,2023-04-19 10:11:02.540931,2023-04-19 10:11:09.931053,0 days 00:00:07.390122,relu,10,0.03061131999657892,0.21506726072990598,0.3855564487997005,tiny,0.969388680003421,1024,PRUNED
30,30,9.5,2023-04-19 10:11:09.931764,2023-04-19 10:11:18.284499,0 days 00:00:08.352735,relu,5,0.051215476466795744,0.02690606311784843,0.6455087502390379,tiny,0.9487845235332043,32,PRUNED
31,31,119.0,2023-04-19 10:11:18.285125,2023-04-19 10:11:25.812713,0 days 00:00:07.527588,relu,8,0.012216021863117333,0.011654357623311403,2.5874018878950356,tiny,0.9877839781368827,256,PRUNED
32,32,228.4,2023-04-19 10:11:25.813411,2023-04-19 10:11:33.588395,0 days 00:00:07.774984,relu,8,0.06908425758286116,0.00511901880415769,3.281459570758425,tiny,0.9309157424171388,256,PRUNED
33,33,214.7,2023-04-19 10:11:33.589098,2023-04-19 10:11:49.425064,0 days 00:00:15.835966,relu,9,0.008327197882932768,0.010278488838930157,1.7762526449983533,tiny,0.9916728021170672,512,COMPLETE
34,34,118.7,2023-04-19 10:11:49.425941,2023-04-19 10:11:57.111602,0 days 00:00:07.685661,relu,8,0.011224843162571567,0.043282319984100634,2.2217982481636596,tiny,0.9887751568374284,256,PRUNED
35,35,9.5,2023-04-19 10:11:57.112188,2023-04-19 10:12:07.458894,0 days 00:00:10.346706,relu,4,0.019391413496707907,0.1419609810726972,1.2444707681815026,small,0.9806085865032921,16,PRUNED
36,36,275.4,2023-04-19 10:12:07.459484,2023-04-19 10:12:15.772128,0 days 00:00:08.312644,tanh,9,0.005221981358806066,0.0018786613369037358,3.1247551768914588,small,0.994778018641194,512,PRUNED
37,37,500.0,2023-04-19 10:12:15.772802,2023-04-19 10:12:32.059548,0 days 00:00:16.286746,relu,7,0.0926991694547032,0.007071911324813837,0.3569098331910136,tiny,0.9073008305452968,128,COMPLETE
38,38,97.4,2023-04-19 10:12:32.061035,2023-04-19 10:12:41.370017,0 days 00:00:09.308982,relu,4,0.008032611499631411,0.003370715694614331,1.5135306229385737,tiny,0.9919673885003686,16,PRUNED
39,39,142.2,2023-04-19 10:12:41.370689,2023-04-19 10:12:53.337641,0 days 00:00:11.966952,tanh,3,0.0033849540503377157,0.00022344156946265328,4.141573186378117,small,0.9966150459496623,8,PRUNED
40,40,99.4,2023-04-19 10:12:53.338227,2023-04-19 10:13:01.199792,0 days 00:00:07.861565,relu,6,0.011808917284855966,0.0007904778204409827,1.8988378879134489,tiny,0.988191082715144,64,PRUNED
41,41,388.0,2023-04-19 10:13:01.200572,2023-04-19 10:13:09.371718,0 days 00:00:08.171146,relu,7,0.09913800426563092,0.008075026963770694,0.36971602079266913,tiny,0.9008619957343691,128,PRUNED
42,42,452.3,2023-04-19 10:13:09.372421,2023-04-19 10:13:25.797810,0 days 00:00:16.425389,relu,7,0.046440126215219785,0.0031340567025337925,0.34526837065292154,tiny,0.9535598737847802,128,COMPLETE
43,43,122.3,2023-04-19 10:13:25.798630,2023-04-19 10:13:33.485464,0 days 00:00:07.686834,relu,8,0.022506296075048813,0.01725468787008796,0.34706002118821494,tiny,0.9774937039249512,256,PRUNED
44,44,223.6,2023-04-19 10:13:33.486160,2023-04-19 10:13:41.312944,0 days 00:00:07.826784,relu,7,0.061734045261575346,0.00783603623358709,0.4550415380172965,tiny,0.9382659547384247,128,PRUNED
45,45,362.1,2023-04-19 10:13:41.313550,2023-04-19 10:13:49.701597,0 days 00:00:08.388047,relu,6,0.014906541716085958,0.001658584125225358,0.3207864051707017,tiny,0.985093458283914,64,PRUNED
46,46,9.6,2023-04-19 10:13:49.702186,2023-04-19 10:13:58.045000,0 days 00:00:08.342814,tanh,5,0.09512723726209839,0.03646081945500717,0.39346557582667085,tiny,0.9048727627379016,32,PRUNED
47,47,51.2,2023-04-19 10:13:58.045853,2023-04-19 10:14:05.599481,0 days 00:00:07.553628,relu,8,0.029398697911698392,0.01577296625552361,1.5849723718270192,tiny,0.9706013020883016,256,PRUNED
48,48,232.1,2023-04-19 10:14:05.600190,2023-04-19 10:14:13.204385,0 days 00:00:07.604195,tanh,9,0.010617400393732629,0.003822686453079895,0.4682763822796433,tiny,0.9893825996062674,512,PRUNED
49,49,246.6,2023-04-19 10:14:13.205035,2023-04-19 10:14:21.756057,0 days 00:00:08.551022,relu,5,0.0472820178983284,0.007628659232274817,0.30660625281481146,tiny,0.9527179821016716,32,PRUNED
50,50,500.0,2023-04-19 10:14:21.756765,2023-04-19 10:14:39.298739,0 days 00:00:17.541974,tanh,7,0.02630930363181034,0.0024522131302414773,0.5764539621764891,small,0.9736906963681896,128,COMPLETE
51,51,166.2,2023-04-19 10:14:39.299620,2023-04-19 10:14:47.717012,0 days 00:00:08.417392,tanh,7,0.026655951042453392,0.002390405633348699,0.5752169731430449,small,0.9733440489575466,128,PRUNED
52,52,277.0,2023-04-19 10:14:47.717713,2023-04-19 10:14:56.300629,0 days 00:00:08.582916,tanh,7,0.01540987397568472,0.000887904641389279,0.4169412128302036,small,0.9845901260243153,128,PRUNED
53,53,500.0,2023-04-19 10:14:56.301266,2023-04-19 10:15:14.360285,0 days 00:00:18.059019,tanh,6,0.03995895732509412,0.0014479238412278893,0.5043652597104882,small,0.9600410426749059,64,COMPLETE
54,54,500.0,2023-04-19 10:15:14.361022,2023-04-19 10:15:31.667729,0 days 00:00:17.306707,tanh,8,0.0640913554228238,0.0048911047351141955,0.6384481369074815,small,0.9359086445771762,256,COMPLETE
55,55,226.4,2023-04-19 10:15:31.668569,2023-04-19 10:15:43.872760,0 days 00:00:12.204191,tanh,3,0.023804262597535666,0.010463106137629675,0.42288019079096684,small,0.9761957374024643,8,PRUNED
56,56,483.7,2023-04-19 10:15:43.873444,2023-04-19 10:15:59.571289,0 days 00:00:15.697845,tanh,7,0.01676294312649886,0.0021369636476684193,0.36263108362748736,tiny,0.9832370568735012,128,COMPLETE
57,57,9.5,2023-04-19 10:15:59.572042,2023-04-19 10:16:07.393655,0 days 00:00:07.821613,relu,8,0.009363070018266416,0.016225279635259177,0.3381657448782967,small,0.9906369299817336,256,PRUNED
58,58,115.8,2023-04-19 10:16:07.394257,2023-04-19 10:16:16.433330,0 days 00:00:09.039073,relu,4,0.006790764599229542,0.005065722162202404,1.2631304956435443,tiny,0.9932092354007704,16,PRUNED
59,59,384.7,2023-04-19 10:16:16.434033,2023-04-19 10:16:33.880507,0 days 00:00:17.446474,tanh,6,0.032113129531369314,0.001052253279544339,0.5802361682618129,small,0.9678868704686306,64,COMPLETE
60,60,125.6,2023-04-19 10:16:33.881226,2023-04-19 10:16:41.518733,0 days 00:00:07.637507,relu,8,0.018792858465660502,0.000498210651850368,0.9134961958538792,tiny,0.9812071415343395,256,PRUNED
61,61,207.8,2023-04-19 10:16:41.519325,2023-04-19 10:16:49.923225,0 days 00:00:08.403900,tanh,6,0.08289327399734979,0.0015556189899727842,0.49656625582717817,small,0.9171067260026502,64,PRUNED
62,62,500.0,2023-04-19 10:16:49.923935,2023-04-19 10:17:08.422507,0 days 00:00:18.498572,tanh,5,0.04136902924747052,0.001187294816202018,0.7264232079216296,small,0.9586309707525295,32,COMPLETE
63,63,431.0,2023-04-19 10:17:08.423383,2023-04-19 10:17:17.128032,0 days 00:00:08.704649,tanh,6,0.04203044622653872,0.0028047591422251206,0.46751630398377225,small,0.9579695537734613,64,PRUNED
64,64,285.8,2023-04-19 10:17:17.128665,2023-04-19 10:17:25.601690,0 days 00:00:08.473025,tanh,7,0.025220886977756634,0.0013606672767005014,0.3832186921982886,small,0.9747791130222434,128,PRUNED
65,65,298.1,2023-04-19 10:17:25.602279,2023-04-19 10:17:34.704110,0 days 00:00:09.101831,tanh,5,0.03492652094472536,0.0006333926155963112,0.5240824427910963,small,0.9650734790552746,32,PRUNED
66,66,500.0,2023-04-19 10:17:34.704705,2023-04-19 10:17:52.056231,0 days 00:00:17.351526,tanh,6,0.0559278632859337,0.003833436569906382,1.1167401773169996,small,0.9440721367140663,64,COMPLETE
67,67,180.2,2023-04-19 10:17:52.057087,2023-04-19 10:17:59.737649,0 days 00:00:07.680562,relu,7,0.07445229086478608,0.006148542225747417,0.4274904010800876,tiny,0.9255477091352139,128,PRUNED
68,68,147.2,2023-04-19 10:17:59.738220,2023-04-19 10:18:09.710644,0 days 00:00:09.972424,relu,4,0.012904521205275793,0.002074691661262151,0.7040683409115324,small,0.9870954787947243,16,PRUNED
69,69,500.0,2023-04-19 10:18:09.711358,2023-04-19 10:18:26.545678,0 days 00:00:16.834320,tanh,5,0.0040503244173703875,0.025615486840206248,0.5659669310330784,tiny,0.9959496755826296,32,COMPLETE
70,70,500.0,2023-04-19 10:18:26.546426,2023-04-19 10:18:41.927824,0 days 00:00:15.381398,relu,10,0.00982023053012038,0.00906855002033918,0.9489539655996974,tiny,0.9901797694698796,1024,COMPLETE
71,71,213.1,2023-04-19 10:18:41.928660,2023-04-19 10:18:49.765035,0 days 00:00:07.836375,tanh,8,0.0588811888037384,0.0040547936465213825,0.8202941308273672,small,0.9411188111962616,256,PRUNED
72,72,500.0,2023-04-19 10:18:49.765759,2023-04-19 10:19:06.595513,0 days 00:00:16.829754,tanh,9,0.06792936493794105,0.007004083905640865,0.6306936180806438,small,0.9320706350620589,512,COMPLETE
73,73,500.0,2023-04-19 10:19:06.596239,2023-04-19 10:19:23.281081,0 days 00:00:16.684842,tanh,8,0.05040828332373566,0.005129764039058121,0.4767492366696143,small,0.9495917166762643,256,COMPLETE
74,74,499.3,2023-04-19 10:19:23.282158,2023-04-19 10:19:39.767449,0 days 00:00:16.485291,tanh,8,0.0373401050221007,0.012085759900319017,0.707508236298699,small,0.9626598949778993,256,COMPLETE
75,75,469.1,2023-04-19 10:19:39.768225,2023-04-19 10:19:48.051524,0 days 00:00:08.283299,tanh,9,0.078254009915936,0.0012952309657780633,0.659105293248007,small,0.921745990084064,512,PRUNED
